"type","tag","title","author","year","volume","number","journal","pages","editor","booktitle","publisher","address","doi","misc","report","keywords","url","Link","keyword1","keyword2","keyword3","keyword4","keyword5","...25"
"techreport","tbep1821","Effects of the Toxic Dinoflagellate Pyrodinium bahamense on Feeding Efficiency and Saxitoxin Accumulation/depuration in Bivalve Grazers: Quality Assurance Project Plan","C. Lopez, M. Beck, S. Kaminski, G. Raulerson, S. Shankar","2021","NA","#18-21","NA","57","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#18-21","harmful algal blooms, shellfish, fish and wildlife, restoration","https://drive.google.com/file/d/1X14gHXKfcM-zIcrwCjGcz0q7Ao4Vn0qx/view?usp=sharing","<a href=""https://drive.google.com/file/d/1X14gHXKfcM-zIcrwCjGcz0q7Ao4Vn0qx/view?usp=sharing"">View Document</a>","harmful algal blooms","shellfish","fish and wildlife","restoration",NA,NA
"techreport","tbep1721","Expanding a Comprehensive Strategy to Create Trash-Free Waters Across the Gulf of Mexico Through a National Estuary Partnership: Quality Assurance Project Plan","S. Scolaro, G. Raulerson, J. Whalen","2021","NA","#17-21","NA","33","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#17-21","monitoring, education, stormwater, contaminants, tributary","https://drive.google.com/file/d/1i3gZexjtkL_-EIIKZIEzkCO5d3firtFm/view?usp=sharing","<a href=""https://drive.google.com/file/d/1i3gZexjtkL_-EIIKZIEzkCO5d3firtFm/view?usp=sharing"">View Document</a>","monitoring","education","stormwater","contaminants","tributary",NA
"techreport","tbep1621","Oyster Density on Varying Artificial Substrates and Reef Elevations in Tampa Bay, Florida (USA)","C. Scott Adams, Kara R. Radabaugh, Savanna Hearne, Emily Ritz, Gary E. Raulerson, Serra Herndon, and Ryan P. Moyer","2021","NA","#16-21","NA","70","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#16-21","restoration, assessment, bay habitats, shellfish, TBERF","https://drive.google.com/file/d/1fBuHdbrydQwSZaHWz0Up3YTCrR1Gadzu/view?usp=sharing","<a href=""https://drive.google.com/file/d/1fBuHdbrydQwSZaHWz0Up3YTCrR1Gadzu/view?usp=sharing"">View Document</a>","restoration","assessment","bay habitats","shellfish","TBERF",NA
"techreport","tbep1621a","Intertidal elevation change on constructed oyster reefs in Tampa Bay following Hurricane Eta (Nov. 2020)","C. Scott Adams, Kara R. Radabaugh, Ryan P. Moyer, Gary E. Raulerson","2021","NA","#16-21a","NA","44","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#16-21a","restoration, assessment, bay habitats, shellfish","https://drive.google.com/file/d/1OAJIXs79Mh7q80qWfjHBGjYhAZUOkufT/view?usp=sharing","<a href=""https://drive.google.com/file/d/1OAJIXs79Mh7q80qWfjHBGjYhAZUOkufT/view?usp=sharing"">View Document</a>","restoration","assessment","bay habitats","shellfish",NA,NA
"techreport","tbep1521","Can Bay Scallop Recruitment Limitation in Tampa Bay be Overcome Using a Targeted and Intensive Approach?","Q. Tuckett, J. Patterson, and S. Thomas","2021","NA","#15-21","NA","34","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#15-21","TBERF, shellfish, restoration","https://drive.google.com/file/d/1OwZpkZUf0oNJ8pkW_Pvfgg8tnB9tUSYR/view?usp=sharing","<a href=""https://drive.google.com/file/d/1OwZpkZUf0oNJ8pkW_Pvfgg8tnB9tUSYR/view?usp=sharing"">View Document</a>","TBERF","shellfish","restoration",NA,NA,NA
"article","tbep1421","tbeptools: An R Package for Synthesizing Estuarine Data for Environmental Research","M.W. Beck,  M.N. Schrandt, M.R. Wessel, E.T. Sherwood, G.E. Raulerson, A.A. Budihal Prasad, B.D. Best","2021","6","65","Journal of Open Source Software","3485","NA","NA","Journal of Open Source Software","NA","https://doi.org/10.21105/joss.03485","NA","#14-21","assessment, monitoring, open science, status and trends","https://doi.org/10.21105/joss.03485","<a href=""https://doi.org/10.21105/joss.03485"">View Document</a>","assessment","monitoring","open science","status and trends",NA,NA
"article","tbep1321","Multi-scale Trend Analysis of Water Quality Using Error Propagation of Generalized Additive Models","M.W. Beck, P. de Valpine, R. Murphy, I. Wren, A. Chelsky, M. Foley, D.B. Senn","2021","802","NA","Science of the Total Environment","149927","NA","NA","Science of the Total Environment","NA","https://doi.org/10.1016/j.scitotenv.2021.149927","NA","#13-21","assessment, chlorophyll, modelling, status and trends, open science","https://doi.org/10.1016/j.scitotenv.2021.149927","<a href=""https://doi.org/10.1016/j.scitotenv.2021.149927"">View Document</a>","assessment","chlorophyll","modelling","status and trends","open science",NA
"techreport","tbep1221","Tampa Bay Estuary Program: Data Management Standard Operating Procedures","M.W. Beck, G.E. Raulerson, M.C. Burke, J. Whalen, S. Scolaro, E.T. Sherwood","2021","NA","#12-21","NA","81","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","https://doi.org/10.5281/zenodo.5224960","NA","#12-21","program guidance, open science, monitoring, assessment","https://drive.google.com/file/d/1vO4B8DJATgCSV1qOxZz-kN6Uj1BrgNsg/view?usp=sharing","<a href=""https://drive.google.com/file/d/1vO4B8DJATgCSV1qOxZz-kN6Uj1BrgNsg/view?usp=sharing"">View Document</a>","program guidance","open science","monitoring","assessment",NA,NA
"article","tbep1121","Developing a Water Quality Assessment Framework for Southwest Florida Tidal Creeks","M.R. Wessel, J.R. Leverone, M.W. Beck, E.T. Sherwood, J. Hecker, S. West, A. Janicki","2021","45","NA","Estuaries & Coasts","17-37","NA","NA","Estuaries & Coasts","NA","https://doi.org/10.1007/s12237-021-00974-7","NA","#11-21","water quality, bay habitats, assessment, fish and wildlife, tributary","https://doi.org/10.1007/s12237-021-00974-7","<a href=""https://doi.org/10.1007/s12237-021-00974-7"">View Document</a>","water quality","bay habitats","assessment","fish and wildlife","tributary",NA
"article","tbep1021","Ship Wakes and Their Potential Shoreline Impacts in Tampa Bay","S.D. Meyers, M.E. Luther, S. Ringuet, G. Raulerson, E. Sherwood, K. Conrad, G. Basili","2021","211","NA","Ocean & Coastal Management","105749","NA","NA","Ocean & Coastal Management","NA","https://doi.org/10.1016/j.ocecoaman.2021.105749","NA","#10-21","shipping, modelling, spatial analysis, bay habitats, restoration","https://doi.org/10.1016/j.ocecoaman.2021.105749","<a href=""https://doi.org/10.1016/j.ocecoaman.2021.105749"">View Document</a>","shipping","modelling","spatial analysis","bay habitats","restoration",NA
"techreport","tbep09c21","Infographic: Red Tide Environmental, Social & Economic Impact Assessment","J. Shafer","2021","NA","#09c-21","NA","1","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#09c-21","TBERF, assessment, economic, education, fish and wildlife","https://drive.google.com/file/d/19zMHvu4o1hJ4fwjAB2Xj27CodYf8MCDI/view?usp=sharing","<a href=""https://drive.google.com/file/d/19zMHvu4o1hJ4fwjAB2Xj27CodYf8MCDI/view?usp=sharing"">View Document</a>","TBERF","assessment","economic","education","fish and wildlife",NA
"techreport","tbep09b21","Volume 2: Red Tide Response Assessment & Management Recommendations","J. Shafer","2021","NA","#09b-21","NA","109","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#09b-21","TBERF, assessment, harmful algal blooms","https://drive.google.com/file/d/1n_syXBsNOonyOMZx_n2X99fm7ZYpL8c5/view?usp=sharing","<a href=""https://drive.google.com/file/d/1n_syXBsNOonyOMZx_n2X99fm7ZYpL8c5/view?usp=sharing"">View Document</a>","TBERF","assessment","harmful algal blooms",NA,NA,NA
"techreport","tbep09a21","Volume 1: Red Tide Environmental, Social & Economic Impact Assessment","J. Shafer","2021","NA","#09a-21","NA","42","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#09a-21","TBERF, assessment, economic, fish and wildlife, public access","https://drive.google.com/file/d/1CGrG-DhNTjPDa51oxTPEPKYijr9I-31u/view?usp=sharing","<a href=""https://drive.google.com/file/d/1CGrG-DhNTjPDa51oxTPEPKYijr9I-31u/view?usp=sharing"">View Document</a>","TBERF","assessment","economic","fish and wildlife","public access",NA
"techreport","tbep0821","Fish Assemblages Associated with Seagrass and Hard Bottom Habitats within Tampa Bay and Neighboring Offshore Reefs: Habitat Connectivity and Potential Effects of the Severe 2018 Red Tide Event","K.E. Flaherty-Walia, B.J. Williams, B. Barbara, M.N. Schrandt, S.F. Keenan, D. Lazarre, J.L.Vecchio, B.L. Winner, P.W. Stevens, T.C. MacDonald, T.S. Switzer, and B.Sauls","2021","NA","#08-21","NA","104","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#08-21","TBERF, fish and wildlife, bay habitats, harmful algal blooms","https://drive.google.com/file/d/11x24Ypp750SXHIIfF7U1edbBi6cNleTH/view?usp=sharing","<a href=""https://drive.google.com/file/d/11x24Ypp750SXHIIfF7U1edbBi6cNleTH/view?usp=sharing"">View Document</a>","TBERF","fish and wildlife","bay habitats","harmful algal blooms",NA,NA
"techreport","tbep07b21","Fact Sheet: Linking Pyrodinium bahamense Physiology and Behavior to Population Growth and Loss in Nature and Implications for Management","C.B. Lopez, S. Shankar, S.G. Kaminski, M. Garrett, K.A. Hubbard","2021","NA","#07b-21","NA","2","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#07b-21","TBERF, education, chlorophyll, water quality, harmful algal blooms","https://drive.google.com/file/d/1FaUPEdsUhhjjP7EsFgoqINfdRsjQMD04/view?usp=sharing","<a href=""https://drive.google.com/file/d/1FaUPEdsUhhjjP7EsFgoqINfdRsjQMD04/view?usp=sharing"">View Document</a>","TBERF","education","chlorophyll","water quality","harmful algal blooms",NA
"techreport","tbep07a21","Linking Pyrodinium bahamense physiology and behavior to population growth and loss in nature and implications for management","C.B. Lopez, S. Shankar, S.G. Kaminski, M. Garrett, K.A. Hubbard","2021","NA","#07a-21","NA","39","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#07a-21","TBERF, chlorophyll, water quality, harmful algal blooms","https://drive.google.com/file/d/1iXX_JZP5fLS3ORIkFb7WwNYv8HjpHyKw/view?usp=sharing","<a href=""https://drive.google.com/file/d/1iXX_JZP5fLS3ORIkFb7WwNYv8HjpHyKw/view?usp=sharing"">View Document</a>","TBERF","chlorophyll","water quality","harmful algal blooms",NA,NA
"techreport","tbep0621","2020 Tampa Bay Estuary Nutrient Management Compliance Assessment","M. Beck, M. Burke, E. Sherwood","2021","NA","#06-21","NA","13","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#06-21","water quality, assessment, chlorophyll, seagrass","https://tbep-tech.github.io/tbnmc-compliance-assessment-2020/","<a href=""https://tbep-tech.github.io/tbnmc-compliance-assessment-2020/"">View Document</a>","water quality","assessment","chlorophyll","seagrass",NA,NA
"techreport","tbep0521","2020 Tampa Bay Water Quality Assessment","M. Beck, M. Burke, G. Raulerson","2021","NA","#05-21","NA","2","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#05-21","status and trends, water quality, chlorophyll, light attenuation, seagrass","https://drive.google.com/file/d/124FXmLcXKYUf3ktaVOvFejndiPS0m7K7/view?usp=sharing","<a href=""https://drive.google.com/file/d/124FXmLcXKYUf3ktaVOvFejndiPS0m7K7/view?usp=sharing"">View Document</a>","status and trends","water quality","chlorophyll","light attenuation","seagrass",NA
"techreport","tbep0421","Microplastics in Tampa Bay: Abundance, Distribution, and Ecological Interactions (2018 TBERF)","A. Suida and S. Gowans","2020","NA","#04-21","NA","41","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#04-21","TBERF, contaminants, monitoring","https://drive.google.com/file/d/13vFupgf-2DJNHeV2k1j7Lg2FQnaCgell/view?usp=sharing","<a href=""https://drive.google.com/file/d/13vFupgf-2DJNHeV2k1j7Lg2FQnaCgell/view?usp=sharing"">View Document</a>","TBERF","contaminants","monitoring",NA,NA,NA
"techreport","tbep0321","Research Report: Private Sanitary Sewer Laterals Behavior Change Campaign","Marketing  for Change","2021","NA","#03-21","NA","23","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#03-21","education, wastewater","https://drive.google.com/file/d/1yuBVIU84SBfPwJEtkQy1rHbtYMinNd0I/view?usp=sharing","<a href=""https://drive.google.com/file/d/1yuBVIU84SBfPwJEtkQy1rHbtYMinNd0I/view?usp=sharing"">View Document</a>","education","wastewater",NA,NA,NA,NA
"article","tbep0221","A Multimetric Nekton Index for Monitoring, Managing and Communicating Ecosystem Health Status in an Urbanized Gulf of Mexico Estuary","M.N. Schrandt, T.C. MacDonald, E.T. Sherwood, M.W. Beck","2021","123","NA","Ecological Indicators","107310","NA","NA","Ecological Indicators","NA","https://doi.org/10.1016/j.ecolind.2020.107310","NA","#02-21","assessment, monitoring, fish and wildlife, status and trends, water quality","https://doi.org/10.1016/j.ecolind.2020.107310","<a href=""https://doi.org/10.1016/j.ecolind.2020.107310"">View Document</a>","assessment","monitoring","fish and wildlife","status and trends","water quality",NA
"article","tbep0121","Using Logistic Regression to Model the Risk of Sewer Overflows Triggered by Compound Flooding with Application to Sea Level Rise","S.D. Meyers, S. Landry, M.W. Beck, and M.E. Luther","2021","35","NA","Urban Climate","100752","NA","NA","Urban Climate","NA","https://doi.org/10.1016/j.uclim.2020.100752","NA","#01-21","wastewater, climate change, spills, TBERF","https://doi.org/10.1016/j.uclim.2020.100752","<a href=""https://doi.org/10.1016/j.uclim.2020.100752"">View Document</a>","wastewater","climate change","spills","TBERF",NA,NA
"techreport","tbep1620","Tampa Bay Estuary Program: Quality Management Plan","E.T. Sherwood, G. Raulerson, M. Beck, M. Burke","2020","NA","#16-20","NA","NULL","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","#16-20","#16-20","program guidance, open science, monitoring, assessment","https://drive.google.com/file/d/1DyA0PNHV8rEXGMwGiyS7sXY1ECLYpJJO/view?usp=sharing","<a href=""https://drive.google.com/file/d/1DyA0PNHV8rEXGMwGiyS7sXY1ECLYpJJO/view?usp=sharing"">View Document</a>","program guidance","open science","monitoring","assessment",NA,NA
"techreport","tbep1520","CCMP Crosswalk and Model Language Guidelines for Integrating Environmental Planning Best Management Practices into Local Government Comprehensive Plans","Tampa Bay Regional Planning Council","2020","NA","#15-20","NA","22","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#15-20","TBERF, program guidance, regulations","https://drive.google.com/file/d/1u_KtEuiuMC5rODKqniiteyu5FiaLorru/view?usp=sharing","<a href=""https://drive.google.com/file/d/1u_KtEuiuMC5rODKqniiteyu5FiaLorru/view?usp=sharing"">View Document</a>","TBERF","program guidance","regulations",NA,NA,NA
"techreport","tbep1420","Understanding Risk at Wastewater Treatment Plants in Tampa Bay During Extreme High-Precipitation Events","S.D. Meyers, S. Landry, M.W. Beck, and M.E. Luther","2020","NA","#14-20","NA","29","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida",NA,"NULL","#14-20","wastewater, climate change, spills, TBERF","https://drive.google.com/file/d/1JTujiT7f7WUTF5r7__QqHwfq1oGmKj-s/view?usp=sharing","<a href=""https://drive.google.com/file/d/1JTujiT7f7WUTF5r7__QqHwfq1oGmKj-s/view?usp=sharing"">View Document</a>","wastewater","climate change","spills","TBERF",NA,NA
"article","tbep13b20","Coastal Restoration Evaluated Using Dominant Habitat Characteristics and Associated Fish Communities","K. Schulz, P.W. Stevens, J.E. Hill, A.A. Trotter, J.L. Ritch, K.L. Williams, Q.M. Tuckett and J.T. Patterson","2020","15","10","PLOS One","e0240623","NA","NA","PLOS One","NA","10.1371/journal.pone.0240623","NA","#13b-20","fish and wildlife, bay habitats, TBERF, restoration","https://doi.org/10.1371/journal.pone.0240623","<a href=""https://doi.org/10.1371/journal.pone.0240623"">View Document</a>","fish and wildlife","bay habitats","TBERF","restoration",NA,NA
"article","tbep13a20","Coastal Wetland Restoration Improves Habitat for Juvenile Sportfish in Tampa Bay, FL","K. Schulz, P.W. Stevens, J.E. Hill, A.A. Trotter, J.L. Ritch, K.L. Williams, J.T. Patterson, and Q.M. Tuckett","2020","28","5","Restoration Ecology","13","NA","NA","Restoration Ecology","NA","10.1111/rec.13215","NA","#13a-20","fish and wildlife, bay habitats, TBERF, restoration","http://doi.org/10.1111/rec.13215","<a href=""http://doi.org/10.1111/rec.13215"">View Document</a>","fish and wildlife","bay habitats","TBERF","restoration",NA,NA
